word,rarity,reason
Thur,4,capitalized-only-without-lowercase-source
Tina,4,capitalized-only-without-lowercase-source
Toby,4,duplicate-after-lowercasing
Tony,4,capitalized-only-without-lowercase-source
Tory,4,capitalized-only-without-lowercase-source
traf,4,excluded-usage:abbreviation
tren,4,excluded-usage:abbreviation
tRNA,4,capitalized-only-without-lowercase-source
Tuba,4,duplicate-after-lowercasing
Tues,4,capitalized-only-without-lowercase-source
Tupi,4,capitalized-only-without-lowercase-source
turd,3,excluded-usage:vulgar
Turk,4,capitalized-only-without-lowercase-source
twat,3,"excluded-usage:offensive,vulgar;excluded-usage:vulgar"
Tyke,4,duplicate-after-lowercasing
Unix,4,capitalized-only-without-lowercase-source
upto,4,excluded-usage:misspelling
Ural,4,capitalized-only-without-lowercase-source
Urdu,4,capitalized-only-without-lowercase-source
urne,4,obsolete-or-invalid-form
vart,4,excluded-usage:vulgar
Veda,4,duplicate-after-lowercasing
vers,4,excluded-root:ver
Visa,4,duplicate-after-lowercasing
Vita,4,duplicate-after-lowercasing
Volt,4,duplicate-after-lowercasing
Vote,4,duplicate-after-lowercasing
Walt,4,capitalized-only-without-lowercase-source
wein,4,obsolete-or-invalid-form
Wend,4,duplicate-after-lowercasing
Whig,4,duplicate-after-lowercasing
Whit,4,duplicate-after-lowercasing
wier,4,obsolete-or-invalid-form
WiFi,4,capitalized-only-without-lowercase-source
wilk,4,obsolete-or-invalid-form
Will,4,duplicate-after-lowercasing
wyth,4,obsolete-or-invalid-form
Xena,4,capitalized-only-without-lowercase-source
Xian,4,capitalized-only-without-lowercase-source
Xmas,4,capitalized-only-without-lowercase-source
Yank,4,duplicate-after-lowercasing
Yoga,4,duplicate-after-lowercasing
Yuki,4,capitalized-only-without-lowercase-source
Zaza,4,capitalized-only-without-lowercase-source
Zazi,4,capitalized-only-without-lowercase-source
Zoom,4,duplicate-after-lowercasing
Zulu,4,duplicate-after-lowercasing
Zuni,4,capitalized-only-without-lowercase-source
Aaron,4,capitalized-only-without-lowercase-source
Abdul,4,capitalized-only-without-lowercase-source
ABEND,4,duplicate-after-lowercasing
abime,4,obsolete-or-invalid-form
abray,4,obsolete-or-invalid-form
abyme,4,obsolete-or-invalid-form
Adams,4,capitalized-only-without-lowercase-source
AFAIK,4,capitalized-only-without-lowercase-source
affor,4,obsolete-or-invalid-form
agere,4,excluded-usage:abbreviation
Aggie,4,duplicate-after-lowercasing
Akela,4,capitalized-only-without-lowercase-source
Allen,4,capitalized-only-without-lowercase-source
Alpha,4,duplicate-after-lowercasing
Amati,4,capitalized-only-without-lowercase-source
Amish,4,capitalized-only-without-lowercase-source
ancle,4,obsolete-or-invalid-form
Angel,4,duplicate-after-lowercasing
Angle,4,duplicate-after-lowercasing
Anglo,4,duplicate-after-lowercasing
ANZAC,4,capitalized-only-without-lowercase-source
Apple,4,duplicate-after-lowercasing
Argus,4,capitalized-only-without-lowercase-source
Aries,4,capitalized-only-without-lowercase-source
Aryan,4,capitalized-only-without-lowercase-source
Asian,4,capitalized-only-without-lowercase-source
Assam,4,capitalized-only-without-lowercase-source
assig,4,excluded-usage:abbreviation
Assoc,4,capitalized-only-without-lowercase-source
Atlas,4,duplicate-after-lowercasing
Attic,4,duplicate-after-lowercasing
autor,4,obsolete-or-invalid-form
avise,4,obsolete-or-invalid-form
Azeri,4,capitalized-only-without-lowercase-source
Aztec,4,capitalized-only-without-lowercase-source
Babel,4,capitalized-only-without-lowercase-source
Bajan,4,capitalized-only-without-lowercase-source
Baker,4,duplicate-after-lowercasing
balla,4,excluded-usage:nonstandard
Bantu,4,capitalized-only-without-lowercase-source
BASIL,4,duplicate-after-lowercasing
Batak,4,capitalized-only-without-lowercase-source
befor,4,excluded-usage:misspelling
Begum,4,duplicate-after-lowercasing
Bemba,4,capitalized-only-without-lowercase-source
benis,4,excluded-usage:misspelling
Benny,4,duplicate-after-lowercasing
Betty,4,duplicate-after-lowercasing
Bible,4,duplicate-after-lowercasing
BISDN,4,capitalized-only-without-lowercase-source
bitte,4,obsolete-or-invalid-form
Blimp,4,duplicate-after-lowercasing
Blood,4,duplicate-after-lowercasing
Boche,4,capitalized-only-without-lowercase-source
BOGOF,4,capitalized-only-without-lowercase-source
Botox,4,capitalized-only-without-lowercase-source
Boxer,4,duplicate-after-lowercasing
Brett,4,duplicate-after-lowercasing
Brody,4,duplicate-after-lowercasing
Bronx,4,capitalized-only-without-lowercase-source
Brown,4,duplicate-after-lowercasing
Cajun,4,capitalized-only-without-lowercase-source
Carib,4,capitalized-only-without-lowercase-source
Casta,4,capitalized-only-without-lowercase-source
catte,4,obsolete-or-invalid-form
Chevy,4,duplicate-after-lowercasing
Chewa,4,capitalized-only-without-lowercase-source
China,4,duplicate-after-lowercasing
Chuck,4,duplicate-after-lowercasing
clann,4,obsolete-or-invalid-form
Clear,4,duplicate-after-lowercasing
coala,4,obsolete-or-invalid-form
COBRA,4,duplicate-after-lowercasing
Congo,4,capitalized-only-without-lowercase-source
copro,4,excluded-usage:abbreviation
Creek,4,duplicate-after-lowercasing
Crete,4,capitalized-only-without-lowercase-source
Croat,4,capitalized-only-without-lowercase-source
Cuban,4,capitalized-only-without-lowercase-source
cunny,4,excluded-usage:vulgar;obsolete-or-invalid-form
Cymry,4,capitalized-only-without-lowercase-source
Cynic,4,duplicate-after-lowercasing
Czech,4,capitalized-only-without-lowercase-source
Daisy,4,duplicate-after-lowercasing
Dando,4,capitalized-only-without-lowercase-source
David,4,capitalized-only-without-lowercase-source
Deism,4,capitalized-only-without-lowercase-source
Delft,4,duplicate-after-lowercasing
Delta,4,duplicate-after-lowercasing
Derby,4,duplicate-after-lowercasing
