word,lemma,esdb_pos
barging,barge,vg
barhops,barhop,vs
baring,bare,vg
barked,bark,vd
barkers,barker,ns
barking,bark,vg
barks,bark,ns
barks,bark,vs
barmen,barman,ns
barneys,barney,ns
barns,barn,ns
barons,baron,ns
barred,bar,vd
barrels,barrel,ms
barrens,barren,ns
barres,barre,ns
barring,bar,vg
barrios,barrio,ns
barrows,barrow,ns
bars,bar,ms
barters,barter,vs
baryons,baryon,ns
based,base,vd
basemen,baseman,ns
baser,base,aj1
bases,base,ms
bases,basis,ns
basest,base,aj2
bashed,bash,vd
bashes,bash,ms
bashing,bash,vg
basics,basic,ns
basing,base,vg
basins,basin,ns
basked,bask,vd
baskets,basket,ns
basking,bask,vg
basks,bask,vs
basques,basque,ns
basses,bass,ns
bassets,basset,ns
bassos,basso,ns
basted,baste,vd
basters,baster,ns
bastes,baste,vs
basting,baste,vg
batched,batch,vd
batches,batch,ms
bated,bate,vd
bates,bate,vs
bathed,bathe,vd
bathers,bather,ns
bathes,bathe,ms
bathing,bathe,vg
baths,bath,ns
batiks,batik,ns
bating,bate,vg
batmen,batman,ns
batons,baton,ns
bats,bat,ms
batsmen,batsman,ns
batted,bat,vd
battens,batten,ms
batters,batter,ms
battier,batty,aj1
batting,bat,vg
battled,battle,vd
battles,battle,ms
baubles,bauble,ns
bawdier,bawdy,aj1
bawds,bawd,ns
bawled,bawl,vd
bawling,bawl,vg
bawls,bawl,ms
bayed,bay,vd
baying,bay,vg
bayous,bayou,ns
bays,bay,ms
bazaars,bazaar,ns
beached,beach,vd
beaches,beach,ms
beacons,beacon,ns
beaded,bead,vd
beadier,beady,aj1
beading,bead,vg
beadles,beadle,ns
beads,bead,ms
beagles,beagle,ns
beakers,beaker,ns
beaks,beak,ns
beamed,beam,vd
beaming,beam,vg
beams,beam,ms
beaned,bean,vd
beanies,beanie,ns
beaning,bean,vg
beans,bean,ms
bearded,beard,vd
beards,beard,ms
bearers,bearer,ns
bearing,bear,vg
bears,bear,ns
bears,bear,vs
beasts,beast,ns
beaten,beat,vn
beaters,beater,ns
beating,beat,vg
beats,beat,ms
beaus,beau,ns
beauts,beaut,ns
beavers,beaver,ns
beavers,beaver,vs
bebops,bebop,ns
becalms,becalm,vs
became,become,vd
beckons,beckon,vs
becks,beck,ns
becomes,become,vs
bedaubs,bedaub,vs
bedbugs,bedbug,ns
bedded,bed,vd
bedding,bed,vg
bedecks,bedeck,vs
bedims,bedim,vs
bedlams,bedlam,ns
bedpans,bedpan,ns
beds,bed,ms
bedsits,bedsit,ns
beeches,beech,ns
beefed,beef,vd
beefier,beefy,aj1
beefing,beef,vg
beefs,beef,ns
beefs,beef,vs
been,be,vn
beeped,beep,vd
beepers,beeper,ns
beeping,beep,vg
beeps,beep,ms
beerier,beery,aj1
beers,beer,ns
bees,bee,ns
beetled,beetle,vd
beetles,beetle,ms
beets,beet,ns
beeves,beef,ns
befalls,befall,vs
befell,befall,vd
befits,befit,vs
befogs,befog,vs
