word,rarity,reason
apolune,4,larger-level-not-approved
aporia,4,larger-level-not-approved
apothem,4,larger-level-not-approved
appal,4,outside-filtered-American-60-80
appel,4,larger-level-not-approved
aprium,4,outside-filtered-American-60-80
aproned,4,larger-level-not-approved
apsis,4,larger-level-not-approved
aptonym,4,outside-filtered-American-60-80
apud,4,outside-filtered-American-60-80
aquiver,4,larger-level-not-approved
ara,3,outside-filtered-American-60-80
araba,4,outside-filtered-American-60-80
arbour,4,outside-filtered-American-60-80
arcanum,4,larger-level-not-approved
archaea,4,larger-level-not-approved
arco,4,larger-level-not-approved
arcsine,4,larger-level-not-approved
arcus,4,outside-filtered-American-60-80
ard,4,outside-filtered-American-60-80
ardeb,4,larger-level-not-approved
ardour,4,outside-filtered-American-60-80
areola,4,larger-level-not-approved
areolar,4,larger-level-not-approved
argh,4,outside-filtered-American-60-80
arhat,4,larger-level-not-approved
arie,4,outside-filtered-American-60-80
arietta,4,larger-level-not-approved
aris,4,outside-filtered-American-60-80
arity,4,outside-filtered-American-60-80
arkan,4,outside-filtered-American-60-80
armiger,4,larger-level-not-approved
armless,4,larger-level-not-approved
armour,3,outside-filtered-American-60-80
aro,4,outside-filtered-American-60-80
aroba,4,outside-filtered-American-60-80
arrack,4,larger-level-not-approved
arriver,4,larger-level-not-approved
ars,4,larger-level-not-approved
arse,4,outside-filtered-American-60-80
arsed,4,outside-filtered-American-60-80
arsine,4,larger-level-not-approved
arsole,4,outside-filtered-American-60-80
artemon,4,outside-filtered-American-60-80
arteria,4,outside-filtered-American-60-80
arti,4,outside-filtered-American-60-80
artic,4,outside-filtered-American-60-80
arvo,4,larger-level-not-approved
aryl,4,larger-level-not-approved
asap,4,outside-filtered-American-60-80
ase,4,outside-filtered-American-60-80
asea,4,larger-level-not-approved
asepsis,4,larger-level-not-approved
asiago,4,outside-filtered-American-60-80
askey,4,outside-filtered-American-60-80
aslope,4,larger-level-not-approved
asperge,4,outside-filtered-American-60-80
asperse,4,larger-level-not-approved
aspie,4,outside-filtered-American-60-80
aspis,4,outside-filtered-American-60-80
assage,4,outside-filtered-American-60-80
assai,4,larger-level-not-approved
assart,4,outside-filtered-American-60-80
asshole,2,outside-filtered-American-60-80
assiege,4,outside-filtered-American-60-80
assrun,4,outside-filtered-American-60-80
astroid,4,larger-level-not-approved
atap,4,larger-level-not-approved
atas,4,outside-filtered-American-60-80
athan,4,outside-filtered-American-60-80
athodyd,4,larger-level-not-approved
atlatl,4,larger-level-not-approved
atled,4,outside-filtered-American-60-80
atomus,4,outside-filtered-American-60-80
atopic,4,larger-level-not-approved
atopy,4,larger-level-not-approved
attacca,4,outside-filtered-American-60-80
aubade,4,larger-level-not-approved
auberge,4,larger-level-not-approved
aud,4,outside-filtered-American-60-80
auf,4,outside-filtered-American-60-80
augend,4,larger-level-not-approved
augite,4,larger-level-not-approved
auguste,4,outside-filtered-American-60-80
